blue,green,red,ndwi,brightness,label,source_file
0.33001813,0.2315474,0.29785836,-0.12525521,0.28647462,0,GSL_2014_04.tif
0.39609048,0.28789794,0.33185008,-0.07091925,0.33861282,0,GSL_2014_04.tif
0.33928886,0.24271894,0.2969351,-0.10046451,0.29298094,0,GSL_2014_04.tif
0.3576096,0.24805827,0.3133015,-0.11622335,0.30632314,0,GSL_2014_04.tif
0.23760517,0.15778239,0.2555575,-0.23654835,0.2169817,0,GSL_2014_04.tif
0.27608603,0.18957199,0.26865062,-0.17257649,0.24476956,0,GSL_2014_04.tif
0.22987956,0.15712523,0.23793216,-0.20454426,0.20831232,0,GSL_2014_04.tif
0.22936451,0.15876812,0.233316,-0.19013189,0.20714955,0,GSL_2014_04.tif
0.25232062,0.14644657,0.23826788,-0.2386733,0.21234502,0,GSL_2014_04.tif
0.20640843,0.13921793,0.2380161,-0.2619008,0.19454749,0,GSL_2014_04.tif
0.2100137,0.1389715,0.222489,-0.23105504,0.1904914,0,GSL_2014_04.tif
0.26122344,0.15991813,0.2443948,-0.2089383,0.22184545,0,GSL_2014_04.tif
0.2991893,0.18710768,0.2741061,-0.18862882,0.25346768,0,GSL_2014_04.tif
0.29286164,0.19252916,0.27393824,-0.17452218,0.25310966,0,GSL_2014_04.tif
0.5509633,0.4770056,0.48109287,-0.0042660176,0.5030206,0,GSL_2019_08.tif
0.52961665,0.43256903,0.46266133,-0.03361399,0.474949,0,GSL_2019_08.tif
0.503881,0.42175376,0.44070727,-0.021976043,0.45544735,0,GSL_2019_08.tif
0.53097993,0.43123668,0.46356243,-0.03612622,0.4752597,0,GSL_2019_08.tif
0.5613041,0.48151195,0.49198797,-0.010761185,0.5116013,0,GSL_2019_08.tif
0.6298994,0.53217906,0.5534265,-0.019571958,0.571835,0,GSL_2019_08.tif
0.510797,0.40756854,0.4484895,-0.047801543,0.45561835,0,GSL_2019_08.tif
0.5162501,0.4197161,0.45045552,-0.035325665,0.46214056,0,GSL_2019_08.tif
0.5142883,0.43962243,0.4604905,-0.023183802,0.4714671,0,GSL_2019_08.tif
0.48905134,0.41360313,0.4371848,-0.02771743,0.44661307,0,GSL_2019_08.tif
0.67930925,0.5973449,0.6151108,-0.0146528445,0.63058835,0,GSL_2019_08.tif
0.6701654,0.575636,0.60229063,-0.022628386,0.6160307,0,GSL_2019_08.tif
0.66424686,0.5685826,0.5843506,-0.013676403,0.60572666,0,GSL_2019_08.tif
0.65882707,0.577321,0.57169425,0.0048970054,0.6026141,0,GSL_2019_08.tif
0.55891013,0.4726168,0.4955924,-0.023729965,0.50903976,0,GSL_2019_08.tif
0.65856105,0.5672895,0.5900439,-0.019661069,0.6052981,0,GSL_2019_08.tif
0.70155364,0.60863036,0.6166673,-0.006559145,0.64228374,0,GSL_2019_08.tif
0.6213873,0.53119946,0.5466683,-0.014351318,0.56641835,0,GSL_2019_08.tif
0.6203898,0.52810377,0.5375344,-0.008849757,0.56200933,0,GSL_2019_08.tif
0.60250115,0.51031345,0.52352643,-0.012780476,0.54544705,0,GSL_2019_08.tif
0.44469553,0.35153297,0.39143357,-0.053704366,0.39588737,0,GSL_2019_08.tif
0.4890846,0.4003192,0.43575123,-0.042379204,0.44171834,0,GSL_2019_08.tif
0.6664414,0.5777912,0.59536856,-0.0149829,0.6132004,0,GSL_2019_08.tif
0.61513627,0.531317,0.538927,-0.0071105426,0.56179345,0,GSL_2019_08.tif
0.54810375,0.45192674,0.47847152,-0.028530525,0.492834,0,GSL_2019_08.tif
0.0065508136,0.1456601,0.08531918,0.26123843,0.0791767,1,GSL_2014_12.tif
0.00648547,0.14724855,0.085436635,0.265645,0.07972355,1,GSL_2014_12.tif
0.006191424,0.14791922,0.08394883,0.27589017,0.07935316,1,GSL_2014_12.tif
0.0049498957,0.14548361,0.08359645,0.27015397,0.078009985,1,GSL_2014_12.tif
0.0014866845,0.14449525,0.08528002,0.25770816,0.07708732,1,GSL_2014_12.tif
0.005015239,0.14265971,0.08829479,0.23539132,0.07865658,1,GSL_2014_12.tif
0.0041331006,0.14527182,0.08567155,0.25807196,0.07835883,1,GSL_2014_12.tif
0.009491276,0.14749564,0.08457527,0.27112445,0.080520734,1,GSL_2014_12.tif
0.016875103,0.15046075,0.08610223,0.27205545,0.08447936,1,GSL_2014_12.tif
0.014849451,0.1487664,0.0898609,0.24685043,0.084492244,1,GSL_2014_12.tif
0.004721193,0.14216553,0.087394275,0.23859148,0.07809367,1,GSL_2014_12.tif
0.0065508136,0.14820161,0.08786411,0.25559515,0.08087218,1,GSL_2014_12.tif
0.0074329525,0.14753094,0.08665037,0.25997084,0.08053809,1,GSL_2014_12.tif
0.011092194,0.14647198,0.08512341,0.2648943,0.08089586,1,GSL_2014_12.tif
0.0055379877,0.14911939,0.085984774,0.26853776,0.08021405,1,GSL_2014_12.tif
0.0059953933,0.14449525,0.08719851,0.24729407,0.07922972,1,GSL_2014_12.tif
0.009785322,0.14738975,0.08774665,0.25365213,0.08164058,1,GSL_2014_12.tif
0.0068775318,0.14626019,0.08610223,0.258896,0.07974665,1,GSL_2014_12.tif
0.0028589002,0.14527182,0.084614426,0.26385716,0.07758172,1,GSL_2014_12.tif
0.007040891,0.14774273,0.08465358,0.2714711,0.0798124,1,GSL_2014_12.tif
0.006648829,0.14453055,0.08790326,0.24362653,0.07969421,1,GSL_2014_12.tif
0.010536773,0.14237732,0.08825564,0.23466484,0.08038991,1,GSL_2014_12.tif
0.008968527,0.1487664,0.087394275,0.25987336,0.081709735,1,GSL_2014_12.tif
0.0067468444,0.14636609,0.086298,0.2581741,0.07980364,1,GSL_2014_12.tif
0.011614943,0.1489076,0.08762919,0.25906393,0.08271725,1,GSL_2014_12.tif
0.12296297,0.073695496,0.1305926,-0.2785127,0.10908369,0,GSL_2024_01.tif
0.11223478,0.058513977,0.11661143,-0.3317458,0.09578673,0,GSL_2024_01.tif
0.15691523,0.103642166,0.15213533,-0.18959045,0.13756424,0,GSL_2024_01.tif
0.2271361,0.16564938,0.19241221,-0.07474343,0.1950659,0,GSL_2024_01.tif
0.31536937,0.24219756,0.23694827,0.010955497,0.2648384,0,GSL_2024_01.tif
0.15691523,0.10402651,0.16040675,-0.21321079,0.14044951,0,GSL_2024_01.tif
0.20058994,0.14146785,0.1726287,-0.099207535,0.17156218,0,GSL_2024_01.tif
0.31908765,0.23287727,0.24327528,-0.021837525,0.26508006,0,GSL_2024_01.tif
0.38059187,0.2868133,0.288336,-0.0026475163,0.3185804,0,GSL_2024_01.tif
0.38443208,0.29360333,0.23889266,0.102743626,0.3056427,0,GSL_2024_01.tif
